Category,Word1,Word2,Word3,Expected,Predicted,Success,Rank,Score
gender,man,woman,king,queen,queen,1,1,0.5081796050071716
gender,man,woman,husband,wife,wife,1,1,0.6707772612571716
gender,man,woman,actor,actress,actress,1,1,0.7166118621826172
gender,man,woman,father,mother,mother,1,1,0.7325440049171448
gender,boy,girl,brother,sister,sister,1,1,0.7396072149276733
gender,nephew,niece,uncle,aunt,aunt,1,1,0.7025880217552185
capital-country,paris,france,rome,italy,italy,1,1,0.654444694519043
capital-country,berlin,germany,tokyo,japan,japan,1,1,0.6559420228004456
capital-country,london,england,madrid,spain,atletico,0,11,0.5953335165977478
capital-country,beijing,china,seoul,korea,korea,1,1,0.8121278882026672
capital-country,ottawa,canada,canberra,australia,australia,1,1,0.6858946681022644
comparative-superlative,good,best,bad,worst,razzie,0,2,0.47773125767707825
comparative-superlative,big,biggest,small,smallest,tiny,0,-1,0.4597916305065155
comparative-superlative,fast,fastest,slow,slowest,decelerate,0,-1,0.3884863555431366
comparative-superlative,happy,happiest,sad,saddest,mangler,0,-1,0.46620306372642517
comparative-superlative,hard,hardest,easy,easiest,tidycredit,0,-1,0.6037187576293945
comparative-superlative,long,longest,short,shortest,frankenweenie,0,-1,0.3918384313583374
past-tense,eat,ate,drink,drank,booze,0,-1,0.5276433825492859
past-tense,write,wrote,speak,spoke,sidetracked,0,-1,0.4693930745124817
past-tense,play,played,grow,grew,cagr,0,-1,0.45897528529167175
plural,car,cars,child,children,children,1,1,0.4877355694770813
plural,dog,dogs,mouse,mice,duckula,0,51,0.4575158953666687
plural,house,houses,person,people,people,1,1,0.4470753073692322
plural,bird,birds,tooth,teeth,teethcredit,0,-1,0.42065227031707764
plural,book,books,goose,geese,greylag,0,68,0.4467758536338806
opposite,hot,cold,light,dark,illuminate,0,3,0.47788336873054504
opposite,open,closed,young,old,nonparent,0,29,0.47033268213272095
opposite,happy,sad,rich,poor,wealthy,0,-1,0.4303587079048157
opposite,clean,dirty,fast,slow,slow,1,1,0.4508901834487915
opposite,east,west,north,south,south,1,1,0.5497502088546753
profession-place,doctor,hospital,teacher,school,school,1,1,0.6375424265861511
profession-place,chef,restaurant,lawyer,court,attorney,0,-1,0.5903041362762451
profession-place,farmer,farm,programmer,office,computer,0,-1,0.4544644057750702
profession-place,scientist,laboratory,pilot,airplane,emco,0,-1,0.5226354598999023
profession-place,librarian,library,actor,theater,actress,0,-1,0.5628423690795898
profession-place,baker,bakery,firefighter,station,vrilissia,0,-1,0.49952399730682373
